size,iteration,result
20000000,0,0.033463
20000000,1,0.034938
20000000,2,0.034707
20000000,3,0.035900
20000000,4,0.034627
20000000,5,0.034519
20000000,6,0.033922
20000000,7,0.034769
20000000,8,0.035222
20000000,9,0.034550
40000000,0,0.067525
40000000,1,0.067520
40000000,2,0.068714
40000000,3,0.069122
40000000,4,0.067487
40000000,5,0.068380
40000000,6,0.067678
40000000,7,0.068388
40000000,8,0.068758
40000000,9,0.067402
60000000,0,0.101679
60000000,1,0.101260
60000000,2,0.101562
60000000,3,0.100954
60000000,4,0.101833
60000000,5,0.101153
60000000,6,0.101882
60000000,7,0.101827
60000000,8,0.101043
60000000,9,0.101891
80000000,0,0.134226
80000000,1,0.134297
80000000,2,0.135026
80000000,3,0.134672
80000000,4,0.135216
80000000,5,0.134844
80000000,6,0.134914
80000000,7,0.135650
80000000,8,0.133566
80000000,9,0.133711
100000000,0,0.167806
100000000,1,0.167451
100000000,2,0.167456
100000000,3,0.168144
100000000,4,0.167720
100000000,5,0.168408
100000000,6,0.168099
100000000,7,0.168742
100000000,8,0.170541
100000000,9,0.169619
120000000,0,0.203688
120000000,1,0.203017
120000000,2,0.201972
120000000,3,0.202844
120000000,4,0.201928
120000000,5,0.201764
120000000,6,0.201772
120000000,7,0.201792
120000000,8,0.202451
120000000,9,0.201700
140000000,0,0.269161
140000000,1,0.285694
140000000,2,0.256960
140000000,3,0.241844
140000000,4,0.242764
140000000,5,0.242334
140000000,6,0.231763
140000000,7,0.232269
140000000,8,0.232663
140000000,9,0.232061
160000000,0,0.267384
160000000,1,0.266986
160000000,2,0.267089
160000000,3,0.266208
160000000,4,0.265269
160000000,5,0.265589
160000000,6,0.265217
160000000,7,0.265795
160000000,8,0.265738
160000000,9,0.265443
180000000,0,0.301067
180000000,1,0.302780
180000000,2,0.300792
180000000,3,0.300800
180000000,4,0.298643
180000000,5,0.298295
180000000,6,0.309618
180000000,7,0.309072
180000000,8,0.305277
180000000,9,0.336471
200000000,0,0.340656
200000000,1,0.338045
200000000,2,0.334564
200000000,3,0.336174
200000000,4,0.334694
200000000,5,0.333542
200000000,6,0.391157
200000000,7,0.378356
200000000,8,0.352897
200000000,9,0.335869
220000000,0,0.367306
220000000,1,0.371845
220000000,2,0.367800
220000000,3,0.368402
220000000,4,0.374942
220000000,5,0.378128
