size,iteration,naive,better,blas
25,0,0.000084,0.000083,0.000018
25,1,0.000084,0.000084,0.000014
25,2,0.000084,0.000084,0.000015
25,3,0.000086,0.000085,0.000014
25,4,0.000085,0.000084,0.000014
25,5,0.000085,0.000085,0.000014
25,6,0.000086,0.000084,0.000014
25,7,0.000087,0.000085,0.000014
25,8,0.000096,0.000085,0.000015
25,9,0.000086,0.000085,0.000015
50,0,0.000785,0.000700,0.000118
50,1,0.000724,0.000683,0.000109
50,2,0.000739,0.000714,0.000111
50,3,0.000687,0.000674,0.000109
50,4,0.000690,0.000669,0.000107
50,5,0.000679,0.000656,0.000106
50,6,0.000679,0.000765,0.000124
50,7,0.000774,0.000779,0.000132
50,8,0.000827,0.000766,0.000122
50,9,0.000876,0.000745,0.000120
75,0,0.002730,0.002618,0.000450
75,1,0.002817,0.002645,0.000453
75,2,0.002706,0.002603,0.000456
75,3,0.002718,0.002732,0.000460
75,4,0.002685,0.002676,0.000453
75,5,0.002768,0.003234,0.000565
75,6,0.002697,0.002612,0.000451
75,7,0.002786,0.002625,0.000464
75,8,0.002717,0.002736,0.000448
75,9,0.002656,0.002676,0.000450
100,0,0.006472,0.006224,0.001087
100,1,0.006335,0.006292,0.001036
100,2,0.006385,0.006028,0.000962
100,3,0.005589,0.005577,0.000909
100,4,0.005629,0.005412,0.001010
100,5,0.005662,0.005488,0.000910
100,6,0.005660,0.005558,0.000908
100,7,0.005551,0.005487,0.000929
100,8,0.005685,0.005543,0.000949
100,9,0.005727,0.005495,0.000895
125,0,0.011117,0.010708,0.001825
125,1,0.010927,0.010951,0.001743
125,2,0.010931,0.010711,0.001751
125,3,0.011018,0.010737,0.001729
125,4,0.011027,0.010595,0.001831
125,5,0.011011,0.010693,0.001815
125,6,0.012578,0.012303,0.002113
125,7,0.012451,0.012737,0.001786
125,8,0.012951,0.012702,0.001772
125,9,0.012982,0.012092,0.002474
150,0,0.022109,0.021420,0.003092
150,1,0.021726,0.021169,0.004160
150,2,0.021675,0.021096,0.003178
150,3,0.021698,0.021378,0.003724
150,4,0.021762,0.021063,0.003344
150,5,0.019575,0.018357,0.003187
150,6,0.018922,0.018398,0.002978
150,7,0.018592,0.018424,0.003107
150,8,0.018934,0.018419,0.003042
150,9,0.018534,0.018499,0.003089
175,0,0.034023,0.032786,0.005713
175,1,0.035473,0.033565,0.005757
175,2,0.035164,0.033965,0.005359
175,3,0.035482,0.033913,0.006062
175,4,0.035572,0.033283,0.005689
175,5,0.035282,0.033444,0.005199
