size,iteration,naive,better,blas
25,0,0.000015,0.000009,0.000015
25,1,0.000015,0.000008,0.000014
25,2,0.000015,0.000008,0.000014
25,3,0.000015,0.000008,0.000014
25,4,0.000015,0.000008,0.000014
25,5,0.000015,0.000008,0.000014
25,6,0.000015,0.000008,0.000014
25,7,0.000015,0.000008,0.000014
25,8,0.000015,0.000008,0.000014
25,9,0.000015,0.000008,0.000014
50,0,0.000136,0.000057,0.000104
50,1,0.000136,0.000055,0.000104
50,2,0.000136,0.000055,0.000104
50,3,0.000136,0.000055,0.000105
50,4,0.000136,0.000055,0.000104
50,5,0.000136,0.000055,0.000104
50,6,0.000136,0.000055,0.000104
50,7,0.000136,0.000055,0.000104
50,8,0.000136,0.000055,0.000110
50,9,0.000136,0.000055,0.000104
75,0,0.000504,0.000202,0.000391
75,1,0.000504,0.000202,0.000390
75,2,0.000504,0.000202,0.000394
75,3,0.000505,0.000202,0.000388
75,4,0.000505,0.000202,0.000388
75,5,0.000506,0.000204,0.000397
75,6,0.000510,0.000202,0.000389
75,7,0.000509,0.000203,0.000397
75,8,0.000510,0.000203,0.000389
75,9,0.000532,0.000204,0.000399
100,0,0.001368,0.000471,0.000930
100,1,0.001319,0.000455,0.000919
100,2,0.001349,0.000435,0.000913
100,3,0.001302,0.000482,0.001067
100,4,0.001287,0.000434,0.000928
100,5,0.001335,0.000495,0.000937
100,6,0.001390,0.000480,0.000926
100,7,0.001318,0.000472,0.000936
100,8,0.001344,0.000439,0.000927
100,9,0.001316,0.000431,0.000909
125,0,0.002875,0.001055,0.001789
125,1,0.002791,0.000960,0.001790
125,2,0.002805,0.000905,0.001760
125,3,0.003038,0.001077,0.001791
125,4,0.002770,0.000906,0.001712
125,5,0.002753,0.000969,0.001829
125,6,0.002886,0.000956,0.001804
125,7,0.002715,0.000911,0.001742
125,8,0.002747,0.001020,0.001823
125,9,0.002903,0.000964,0.001778
150,0,0.004873,0.001670,0.003241
150,1,0.005098,0.001618,0.003049
150,2,0.005232,0.001718,0.003131
150,3,0.004902,0.001628,0.003137
150,4,0.005072,0.001674,0.002985
150,5,0.004956,0.001827,0.003191
150,6,0.004935,0.001622,0.003040
150,7,0.005153,0.001724,0.003027
150,8,0.004896,0.001818,0.003236
150,9,0.004979,0.001587,0.002995
